name,website,category_hint,confidence,validation_status,evidence_count,description,category,auth_methods,self_serve,api_surface,api_breadth,mcp,buildability,blocker,access_model
Ahrefs,ahrefs.com/api,Data SEO and Scraping,0.88,SUPPORTED,109,Ahrefs is a tool for SEO and marketing data.,Data SEO and Scraping,SAML,Self-serve (free tier available),API v3,Broad,Official MCP,HIGH,None,Self-Serve
Aircall,aircall.io,Communications and Messaging,0.62,UNSUPPORTED,15,"Aircall is an AI-powered, cloud-based phone system and communication platform designed for modern sales and customer support teams.",Communications and Messaging,UNKNOWN,Self-serve (7-day free trial available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Airtable,airtable.com/developers,Productivity and Project Management,0.62,UNSUPPORTED,4,Airtable is a next-gen app-building platform that allows teams to build custom business apps without coding.,Productivity and Project Management,UNKNOWN,Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Amazon Selling Partner,developer-docs.amazon.com/sp-api,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,Amazon Selling Partner API for various fulfillment and procurement services,Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Apify,docs.apify.com,Data SEO and Scraping,0.38,INSUFFICIENT_EVIDENCE,1,"Develop, run, and share web scraping and automation tools in the cloud.",Data SEO and Scraping,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Self-Serve
Asana,developers.asana.com,Productivity and Project Management,0.88,SUPPORTED,4,Asana is a platform for project management and team collaboration.,Productivity and Project Management,"OAuth, Personal Access Token, Service Account, OpenID Connect",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Attio,attio.com,CRM and Sales,0.75,SUPPORTED,21,Attio is a collaborative workspace for managing relationships and workflows.,CRM and Sales,OAuth,UNKNOWN,"REST API, OpenAPI",Broad,Official MCP,HIGH,None,Unknown
BigCommerce,developer.bigcommerce.com,Ecommerce,0.88,SUPPORTED,3,BigCommerce is a commerce-centric platform for building and scaling ecommerce businesses.,Ecommerce,Bearer Token,Self-serve (free tier available),"REST API, GraphQL",Broad,Community MCP,HIGH,None,Self-Serve
Binance,binance-docs.github.io,Finance and Fintech,0.0,INCOMPLETE,0,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,Unknown
Brex,developer.brex.com,Finance and Fintech,0.75,SUPPORTED,2,"Brex is the first fully unified spend platform — with global corporate cards, expense management, reimbursements, travel, and bill pay.",Finance and Fintech,Bearer Token,Self-serve (free tier available),"REST API, OpenAPI",Broad,UNKNOWN,HIGH,None,Self-Serve
Bright Data,brightdata.com,Data SEO and Scraping,0.75,SUPPORTED,4,Bright Data provides web data extraction services through a robust proxy network and APIs.,Data SEO and Scraping,"API Key, Native Access (username:password)",Self-serve (free tier available),"REST API, Webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Clay,clay.com,Data SEO and Scraping,0.75,SUPPORTED,5,Clay is a platform that uses AI to create personalized outreach from enriched prospect data.,Data SEO and Scraping,API Key,Self-serve (free tier available),"HTTP API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
ClickUp,clickup.com/api,Productivity and Project Management,0.88,SUPPORTED,3,ClickUp is a productivity platform that offers task management and collaboration tools.,Productivity and Project Management,"OAuth2, API Key",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Close,close.com,CRM and Sales,0.88,SUPPORTED,44,Close is a sales CRM focused on sales execution.,CRM and Sales,Google SSO,Self-serve (free trial available),"REST API, webhooks",Broad,Official MCP,HIGH,None,Self-Serve
Cloudflare,developers.cloudflare.com/api,Developer Infra and Data,0.75,SUPPORTED,3,Cloudflare provides a suite of services for web performance and security.,Developer Infra and Data,OAuth2,Self-serve (free tier available),GraphQL,Broad,UNKNOWN,HIGH,None,Self-Serve
Coda,coda.io/developers,Productivity and Project Management,0.88,SUPPORTED,4,Superhuman Docs API for programmatic interaction with documents.,Productivity and Project Management,Bearer,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Consensus,consensus.app,AI Research and Media,0.12,INSUFFICIENT_EVIDENCE,2,Consensus helps gather peer-reviewed sources and highlights relevant papers.,AI Research and Media,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Copper,copper.com,CRM and Sales,0.25,INSUFFICIENT_EVIDENCE,47,Copper is the CRM designed for Google Workspace.,CRM and Sales,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Datadog,docs.datadoghq.com/api,Developer Infra and Data,0.88,SUPPORTED,3,"Datadog is a monitoring and analytics platform for developers, IT operations teams, and business users.",Developer Infra and Data,"API Key, Personal Access Tokens, Service Access Tokens, SSO with SAML",Self-serve (free tier available),"REST API, SDKs",Broad,Official MCP,HIGH,None,Self-Serve
DataForSEO,docs.dataforseo.com,Data SEO and Scraping,0.75,SUPPORTED,4,DataForSEO API for SEO software and data analysis.,Data SEO and Scraping,Basic Auth,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
DealCloud,api.docs.dealcloud.com,CRM and Sales,0.75,SUPPORTED,3,DealCloud provides a comprehensive overview of REST APIs for custom integrations and automating workflows.,CRM and Sales,API Key,UNKNOWN,"REST API, OpenAPI",Broad,Official MCP,HIGH,None,Unknown
Devin,docs.devin.ai,AI Research and Media,0.88,SUPPORTED,6,Devin is an AI-powered development tool that integrates with existing workflows.,AI Research and Media,"API Key, Personal Access Token",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Discord,discord.com,Communications and Messaging,0.75,SUPPORTED,49,Discord is a communication platform designed for creating communities.,Communications and Messaging,"OAuth2, Bearer Token",Self-serve (free tier available),"REST API, Webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Ecwid,api-docs.ecwid.com,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,Ecwid Ecommerce integration platform,Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
fanbasis,fanbasis.com,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,"All-in-one software to run high-ticket, high-margin digital businesses.",Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Fathom,fathom.video,AI Research and Media,0.25,INSUFFICIENT_EVIDENCE,2,Fathom gives teams a shared source of truth across every customer conversation.,AI Research and Media,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Unknown
Firecrawl,firecrawl.dev,Data SEO and Scraping,0.88,SUPPORTED,4,"Firecrawl helps AI systems search, scrape, and interact with the web.",Data SEO and Scraping,"API Key, WorkOS ID-JAG",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Freshdesk,freshdesk.com,Support and Helpdesk,0.75,SUPPORTED,364,Freshdesk is a customer support software.,Support and Helpdesk,API Key,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Front,front.com,Support and Helpdesk,0.62,UNSUPPORTED,25,"Front is a modern CX platform combining client communication, automation, and analytics for customer-first teams.",Support and Helpdesk,UNKNOWN,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
GitHub,docs.github.com/rest,Developer Infra and Data,0.88,SUPPORTED,3,GitHub Copilot offers AI-powered coding assistance with various subscription plans.,Developer Infra and Data,SSH,Self-serve (free tier available),"REST API, OpenAPI",Broad,No known MCP,HIGH,None,Self-Serve
Gladly,gladly.com,Support and Helpdesk,0.38,INSUFFICIENT_EVIDENCE,17,"Gladly is customer experience AI designed to deliver efficiency today and lasting customer value over time—through engagement, not deflection.",Support and Helpdesk,OAuth2,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
GoHighLevel,highlevel.stoplight.io,Marketing Ads Email and Social,0.0,INSUFFICIENT_EVIDENCE,5,UNKNOWN,Marketing Ads Email and Social,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Google Ads,developers.google.com/google-ads,Marketing Ads Email and Social,0.88,SUPPORTED,26,Google Ads API for managing advertising campaigns.,Marketing Ads Email and Social,"OAuth 2.0, Service Account",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Gorgias,gorgias.com,Support and Helpdesk,0.75,SUPPORTED,18,Gorgias is the conversational AI platform for ecommerce that drives sales and resolves support inquiries.,Support and Helpdesk,"OAuth2, Access Tokens",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Grain,grain.com,AI Research and Media,0.75,SUPPORTED,4,Grain connects AI chat clients to meeting data for analytics and workflows.,AI Research and Media,UNKNOWN,Gated (contact sales),REST API,Broad,Official MCP,HIGH,None,Gated
Gumroad,gumroad.com/api,Ecommerce,0.25,INSUFFICIENT_EVIDENCE,1,Gumroad is a platform for selling digital products and managing memberships.,Ecommerce,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Harvest,harvestapp.com,Productivity and Project Management,0.25,INSUFFICIENT_EVIDENCE,1,"Harvest helps professional teams track time, bill clients, optimize team time, and measure performance with confidence.",Productivity and Project Management,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Help Scout,helpscout.com,Support and Helpdesk,0.75,SUPPORTED,31,Help Scout is a customer support platform that helps teams manage customer conversations.,Support and Helpdesk,OAuth2,Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
higgsfield,higgsfield.ai,AI Research and Media,0.38,INSUFFICIENT_EVIDENCE,4,Higgsfield is a generative AI toolkit for creating images and videos.,AI Research and Media,UNKNOWN,Gated (contact sales),UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Gated
HubSpot,hubspot.com,CRM and Sales,0.75,SUPPORTED,25,"HubSpot is a platform for marketing, sales, service, and CRM.",CRM and Sales,"OAuth2, API Key",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Intercom,intercom.com,Support and Helpdesk,0.75,SUPPORTED,30,Intercom is the customer service platform combining human agents and AI agents in one workspace.,Support and Helpdesk,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,No known MCP,HIGH,None,Self-Serve
iPayX,ipayx.ai/docs,Finance and Fintech,0.12,INSUFFICIENT_EVIDENCE,2,iPayX Protocol is the neutral FX verification layer for fintech sales teams and FX brokers.,Finance and Fintech,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Jira,developer.atlassian.com,Productivity and Project Management,0.12,INSUFFICIENT_EVIDENCE,2,Atlassian cloud developer documentation,Productivity and Project Management,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Klaviyo,developers.klaviyo.com,Marketing Ads Email and Social,0.62,UNSUPPORTED,4,Build personalized experiences that scale.,Marketing Ads Email and Social,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,UNKNOWN,HIGH,None,Self-Serve
Lark,open.larksuite.com,Communications and Messaging,0.88,SUPPORTED,13,Lark is an advanced enterprise collaboration and management platform.,Communications and Messaging,"OAuth2, API Key",Self-serve (free tier available),"REST API, SDKs",Broad,No known MCP,HIGH,None,Self-Serve
Linear,developers.linear.app,Productivity and Project Management,0.38,INSUFFICIENT_EVIDENCE,2,Linear is a platform for building apps and integrations using GraphQL API and TypeScript SDK.,Productivity and Project Management,"OAuth 2.0, API Key",UNKNOWN,GraphQL,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
LinkedIn Ads,learn.microsoft.com/linkedin/marketing,Marketing Ads Email and Social,0.62,UNSUPPORTED,17,"The LinkedIn Marketing Platform helps businesses grow by building technology to reach, engage, and convert professional audiences at scale.",Marketing Ads Email and Social,OAuth 2.0,UNKNOWN,REST API,Broad,UNKNOWN,HIGH,None,Unknown
LiveAgent,liveagent.com,Support and Helpdesk,0.75,SUPPORTED,22,Affordable ticketing platform for smaller support teams,Support and Helpdesk,SSO,Self-serve (free tier available),API keys,Broad,UNKNOWN,HIGH,None,Self-Serve
Magento,developer.adobe.com/commerce,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,1,Adobe Commerce provides tools for customizing and extending commerce solutions.,Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Mailchimp,mailchimp.com/developer,Marketing Ads Email and Social,0.75,SUPPORTED,191,Mailchimp is a marketing platform that offers email marketing and transactional email services.,Marketing Ads Email and Social,"API Key, OAuth 2",Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Mermaid CLI,github.com/mermaid-js/mermaid-cli,AI Research and Media,0.5,UNSUPPORTED,3,Mermaid CLI for generating diagrams from text,AI Research and Media,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,No known MCP,HIGH,None,Self-Serve
Meta Ads,developers.facebook.com/docs/marketing-apis,Marketing Ads Email and Social,0.88,SUPPORTED,9,Meta Ads is a platform for advertising across Meta technologies.,Marketing Ads Email and Social,OAuth2,Self-serve (free tier available),Graph API,Broad,Official MCP,HIGH,None,Self-Serve
Monday.com,developer.monday.com,Productivity and Project Management,0.88,SUPPORTED,7,"monday.com is a work OS where teams create and shape their own workflows in minutes, code-free.",Productivity and Project Management,"OAuth, Personal API Token",Self-serve (trial available),GraphQL,Broad,Official MCP,HIGH,None,Self-Serve
MongoDB Atlas,mongodb.com/docs/atlas/api,Developer Infra and Data,0.62,UNSUPPORTED,3,MongoDB Atlas is a cloud database service for modern applications.,Developer Infra and Data,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,UNKNOWN,HIGH,None,Self-Serve
MrScraper,docs.mrscraper.com,Data SEO and Scraping,0.12,INSUFFICIENT_EVIDENCE,2,MrScraper is a powerful scraping platform designed to automate and simplify data extraction.,Data SEO and Scraping,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Neo4j,neo4j.com/docs/api,Developer Infra and Data,0.75,SUPPORTED,3,"Neo4j is a highly flexible, low-code, open source JavaScript library for rapid API development.",Developer Infra and Data,OAuth2,Self-serve (14-day free trial available),GraphQL,Broad,UNKNOWN,HIGH,None,Self-Serve
Netlify,docs.netlify.com/api,Developer Infra and Data,0.88,SUPPORTED,4,Netlify is a platform for deploying and managing web projects.,Developer Infra and Data,Access Token,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
NotebookLM,cloud.google.com/gemini,AI Research and Media,0.75,SUPPORTED,5,NotebookLM is a Google Cloud service for managing and analyzing notebooks.,AI Research and Media,"OAuth 2.0, API Key",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Notion,developers.notion.com,Productivity and Project Management,0.75,SUPPORTED,2,Notion API for connecting workspaces to external tools and automating workflows.,Productivity and Project Management,"Bearer Token, OAuth 2.0",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Otter AI,help.otter.ai,AI Research and Media,0.25,INSUFFICIENT_EVIDENCE,1,Otter AI is a transcription service that records and transcribes meetings.,AI Research and Media,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Pinterest,developers.pinterest.com,Marketing Ads Email and Social,0.75,SUPPORTED,7,"Pinterest API allows developers to build experiences and apps for creators, advertisers, and merchants.",Marketing Ads Email and Social,OAuth2,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Pipedrive,pipedrive.com,CRM and Sales,0.62,UNSUPPORTED,23,Pipedrive is an easy and effective CRM for closing deals.,CRM and Sales,UNKNOWN,Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
PitchBook,pitchbook.com,Finance and Fintech,0.0,INCOMPLETE,0,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,Unknown
Plaid,plaid.com/docs,Finance and Fintech,0.75,SUPPORTED,4,Plaid provides APIs for retrieving account information and facilitating bank payments.,Finance and Fintech,OAuth,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Plain,plain.com,Support and Helpdesk,0.75,SUPPORTED,21,Support infrastructure for technical B2B SaaS teams.,Support and Helpdesk,OAuth2,Self-serve (free tier available),"REST API, GraphQL",Broad,UNKNOWN,HIGH,None,Self-Serve
Podio,podio.com,CRM and Sales,0.38,INSUFFICIENT_EVIDENCE,11,Podio is a flexible work management platform that supports customizable workflows and automation.,CRM and Sales,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,HIGH,None,Self-Serve
Pumble,pumble.com,Communications and Messaging,0.5,UNSUPPORTED,21,Pumble is an all-in-one team communication app for sending messages and files and making video calls.,Communications and Messaging,"SAML2, OAuth2",Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,HIGH,None,Self-Serve
Pylon,usepylon.com,Support and Helpdesk,0.12,INSUFFICIENT_EVIDENCE,18,Pylon is a customer support platform that integrates with various communication channels.,Support and Helpdesk,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
QuickBooks,developer.intuit.com,Finance and Fintech,0.75,SUPPORTED,4,QuickBooks is an accounting software for small businesses.,Finance and Fintech,OAuth 2.0,Self-serve (free tier available),"REST API, GraphQL",Broad,UNKNOWN,HIGH,None,Self-Serve
Ramp,docs.ramp.com,Finance and Fintech,0.0,INCOMPLETE,0,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,Unknown
Reducto,reducto.ai,AI Research and Media,0.88,SUPPORTED,3,"Agentic document platform for parsing, classification, extraction, and document tasks.",AI Research and Media,API Key,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Salesforce,salesforce.com,CRM and Sales,0.5,UNSUPPORTED,41,"Salesforce is the #1 AI CRM, where humans with agents drive customer success together with AI, data, and Customer 360 apps on one unified platform.",CRM and Sales,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,Official MCP,HIGH,None,Self-Serve
Salesforce Commerce Cloud,developer.salesforce.com/docs/commerce,Ecommerce,0.25,INSUFFICIENT_EVIDENCE,1,Salesforce Commerce Cloud offers various commerce solutions for B2C and B2B.,Ecommerce,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
SE Ranking,seranking.com/api,Data SEO and Scraping,0.88,SUPPORTED,3,SE Ranking API for SEO data and analytics.,Data SEO and Scraping,API Key,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
SendGrid,sendgrid.com,Marketing Ads Email and Social,0.25,INSUFFICIENT_EVIDENCE,3,The trusted SendGrid Email API for delivery at scale.,Marketing Ads Email and Social,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Sentry,docs.sentry.io/api,Developer Infra and Data,0.25,INSUFFICIENT_EVIDENCE,1,Sentry web API for managing account-level resources and data.,Developer Infra and Data,UNKNOWN,UNKNOWN,"REST API, SDKs",UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Sherlock,github.com/sherlock-project/sherlock,Data SEO and Scraping,0.5,UNSUPPORTED,3,Hunt down social media accounts by username across 400+ social networks,Data SEO and Scraping,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,No known MCP,HIGH,None,Self-Serve
Shopify,shopify.dev,Ecommerce,0.88,SUPPORTED,18,"Shopify provides APIs, libraries, and tools for building integrations and apps.",Ecommerce,"OAuth 2.0, session tokens",Self-serve (free tier available),"REST API, GraphQL, webhooks, SDKs",Broad,No known MCP,HIGH,None,Self-Serve
Slack,slack.com,Communications and Messaging,0.25,INSUFFICIENT_EVIDENCE,30,Slack is where work flows.,Communications and Messaging,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Smartsheet,smartsheet.com/developers,Productivity and Project Management,0.75,SUPPORTED,3,Smartsheet is a collaborative work management platform designed for enterprises.,Productivity and Project Management,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,Official MCP,HIGH,None,Self-Serve
Snowflake,docs.snowflake.com,Developer Infra and Data,0.75,SUPPORTED,4,Snowflake is a cloud-based data warehousing service.,Developer Infra and Data,"Snowflake Managed Token, KEY_PAIR",Self-serve (trial account available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Squarespace,developers.squarespace.com,Ecommerce,0.75,SUPPORTED,2,Squarespace is a platform for building and hosting websites.,Ecommerce,OAuth 2.0,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Stripe,stripe.com/docs/api,Finance and Fintech,0.75,SUPPORTED,3,Stripe is a payment processing platform that helps businesses manage online payments.,Finance and Fintech,API Key,Self-serve (free tier available),REST,Broad,UNKNOWN,HIGH,None,Self-Serve
Supabase,supabase.com/docs,Developer Infra and Data,0.88,SUPPORTED,1,Supabase provides a full Postgres database with Realtime functionality and various APIs.,Developer Infra and Data,"OAuth, email and password, passwordless",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
systeme.io,systeme.io,Marketing Ads Email and Social,0.62,UNSUPPORTED,14,"All-in-one platform for sales funnels, email marketing, and online courses.",Marketing Ads Email and Social,API Key,Self-serve (free tier available),OpenAPI,UNKNOWN,UNKNOWN,HIGH,None,Self-Serve
Telegram,core.telegram.org,Communications and Messaging,0.62,UNSUPPORTED,5,Telegram offers various APIs for developers to create bots and customized clients.,Communications and Messaging,UNKNOWN,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Threads,developers.facebook.com/docs/threads,Marketing Ads Email and Social,0.88,SUPPORTED,8,The Threads API enables developers to build their own unique integrations and manage their Threads presence.,Marketing Ads Email and Social,OAuth2,Self-serve (free tier available),"REST API, webhooks",Broad,No known MCP,HIGH,None,Self-Serve
Twenty,twenty.com,CRM and Sales,0.88,SUPPORTED,15,Twenty is an open-source CRM.,CRM and Sales,"OAuth 2.1, API Key",Self-serve (free tier available),"REST API, GraphQL",Broad,Official MCP,HIGH,None,Self-Serve
Twilio,twilio.com,Communications and Messaging,0.88,SUPPORTED,19,Twilio provides cloud communications and customer engagement solutions.,Communications and Messaging,API Key,Self-serve (free tier available),"REST API, webhooks",Broad,No known MCP,HIGH,None,Self-Serve
Vercel,vercel.com/docs/rest-api,Developer Infra and Data,0.5,UNSUPPORTED,1,Vercel is a platform for building and scaling web applications.,Developer Infra and Data,SAML,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,HIGH,None,Self-Serve
Vonage,developer.vonage.com,Communications and Messaging,0.75,SUPPORTED,57,Vonage provides APIs for communication services.,Communications and Messaging,"API Key, JSON Web Token (JWT), Basic Auth",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Waterfall.io,waterfall.io,Data SEO and Scraping,0.75,SUPPORTED,2,Waterfall Enrichment API for contact and company data,Data SEO and Scraping,API Key,Self-serve (usage-based pricing),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
WhatsApp Business,developers.facebook.com/docs/whatsapp,Communications and Messaging,0.75,SUPPORTED,26,WhatsApp Business is a platform for businesses to communicate with customers via WhatsApp.,Communications and Messaging,UNKNOWN,Self-serve (free tier available),REST API,Broad,No known MCP,HIGH,None,Self-Serve
WooCommerce,woocommerce.com/document/woocommerce-rest-api,Ecommerce,0.75,SUPPORTED,16,The most customizable ecommerce platform for building your online business.,Ecommerce,API Key,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Xero,developer.xero.com,Finance and Fintech,0.88,SUPPORTED,2,Xero Developer platform for building integrations.,Finance and Fintech,OAuth 2.0,Self-serve (free tier available),"REST API, webhooks, SDKs",Broad,Official MCP,HIGH,None,Self-Serve
YouTube Transcript,transcriptapi.com,AI Research and Media,0.88,SUPPORTED,4,API to extract transcripts from YouTube videos programmatically.,AI Research and Media,Bearer Token,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Zendesk,zendesk.com,Support and Helpdesk,0.88,SUPPORTED,34,Zendesk is a customer service platform that provides support and engagement solutions.,Support and Helpdesk,API Key,Self-serve (free tier available),"REST API, webhooks",Broad,No known MCP,HIGH,None,Self-Serve
Zoho Cliq,zoho.com/cliq,Communications and Messaging,0.88,SUPPORTED,38,Zoho Cliq is a collaboration tool that integrates with various Zoho applications.,Communications and Messaging,OAuth,Self-serve (free tier available),"REST API, SDKs",Broad,Official MCP,HIGH,None,Self-Serve
Zoho CRM,zoho.com/crm,CRM and Sales,0.75,SUPPORTED,35,Zoho CRM is a customizable software solution for enterprise management.,CRM and Sales,OAuth 2.0,Gated (contact sales),"REST API, SDKs",Broad,UNKNOWN,HIGH,None,Gated
